GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,SpaceTaken,PathLength,PathCost,CorridorIterations
10,10,33.000,50.000,75.000,AStar,19.558,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,231.424,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,14.898,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,58.048,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,18.192,12288.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,229.519,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,14.448,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,57.056,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,18.124,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,230.008,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,14.112,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,56.521,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,17.641,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,231.737,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,13.764,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,56.617,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,17.277,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,228.558,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,14.183,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,55.302,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,17.870,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,230.509,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,14.060,-12288.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,56.270,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,18.406,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,223.969,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,13.350,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,54.058,-12288.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,17.495,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,223.724,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,14.051,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,56.949,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,17.641,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,227.119,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,13.732,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,55.290,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,17.638,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,228.419,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,13.805,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,57.135,0.000,12,121.000,1
